City,Latitude,Longitude,Population,Land Area,Water Area
"Peabody, MA, USA",42.536457,-70.985786,54481,16.24,0.57
"Newton, MA, USA",42.341042,-71.217133,88923,17.83,0.33
"New Bedford, MA, USA",41.638409,-70.941208,102882,20.0,4.13
"Medford, MA, USA",42.419331,-71.11972,59659,8.1,0.56
"Malden, MA, USA",42.429752,-71.071022,66263,5.04,0.04
"Lawrence, MA, USA",42.701283,-71.175682,89143,6.93,0.5
"Holyoke, MA, USA",42.203217,-72.625481,382387,21.17,1.63
"Framingham, MA, USA",42.280418,-71.423233,72362,25.04,1.46
"Rockville, MD, USA",39.086437,-77.161263,67117,13.6,0.04
"Portland, ME, USA",43.680031,-70.310425,68408,21.54,47.9
"Owensboro, KY, USA",37.760586,-87.127686,60183,20.65,1.45
"Bowling Green, KY, USA",36.976524,-86.456017,72294,40.39,0.26
"Lawrence, KS, USA",38.960213,-95.27739,94934,34.14,0.83
"West Des Moines, IA, USA",41.57983,-93.791328,68723,47.24,0.98
"Waterloo, IA, USA",42.499504,-92.358665,67314,61.59,1.84
"Sioux City, IA, USA",42.495132,-96.40007,85797,58.46,1.165
"Council Bluffs, IA, USA",41.250854,-95.882042,62799,42.96,2.71
"Terre Haute, IN, USA",39.472298,-87.401917,58389,34.77,0.39
"Mishawaka, IN, USA",41.66853,-86.173042,51063,17.9,0.35
"Bloomington, IN, USA",39.168804,-86.536659,79168,23.25,
"Wheaton, IL, USA",41.860985,-88.124168,53970,11.32,0.17
"Waukegan, IL, USA",42.365627,-87.872139,89321,24.22,
"Bloomington, IL, USA",40.478821,-88.992706,78680,27.12,0.12
"Pocatello, ID, USA",42.880363,-112.452911,54255,33.24,0.16
"Coeur d’Alene, ID, USA",47.702465,-116.796883,55904,16.06,0.76
"Warner Robins, GA, USA",32.615692,-83.633667,80308,37.78,0.32
"Melbourne, FL, USA",28.118488,-80.670372,84678,44.15,5.82
"Boca Raton, FL, USA",26.376032,-80.12236,97422,29.18,2.41
"Norwalk, CT, USA",41.12188,-73.436432,91184,22.89,13.49
"New Britain, CT, USA",41.681408,-72.794746,74135,13.36,0.07
"Middletown, CT, USA",41.562794,-72.68161,74135,13.36,0.07
"Albany, GA, USA",31.594915,-84.224236,68089,55.06,0.76
"Bristol, CT, USA",41.685173,-72.962708,60941,26.41,0.4
"Ansonia, CT, USA",41.346439,-73.084938,60941,26.41,0.4
"Miami Beach, FL, USA",25.793449,-80.139198,82890,7.69,7.53
"Waukesha, WI, USA",43.0186,-88.259773,71158,25.53,0.27
"South San Francisco, CA, USA",37.662937,-122.433014,66105,9.2,20.97
"San Rafael, CA, USA",37.986076,-122.534752,61271,16.59,5.96
"Merced, CA, USA",37.325954,-120.499992,86333,23.25,0.0
"Lodi, CA, USA",38.130123,-121.290443,67586,13.64,0.22
"Garden Grove, CA, USA",33.785645,-117.97348,171949,17.96,0.02
"Buena Park, CA, USA",33.8689,-118.012741,84034,10.53,0.03
"Utica, NY, USA",43.107204,-75.252312,65283,16.72,0.26
"Troy, NY, USA",42.728104,-73.687576,51401,10.36,0.7
"Mount Vernon, NY, USA",40.916695,-73.836815,73893,4.39,0.02
"Hoboken, NJ, USA",40.745255,-74.034775,60419,1.25,0.72
"San Angelo, TX, USA",31.442778,-100.450279,93200,59.64,2.28
"Woodbridge, NJ, USA",40.560001,-74.290001,103639,23.26,1.35
"Vista, CA, USA",33.193611,-117.241112,93834,18.75,0.0
"South Bend, IN, USA",41.676388,-86.250275,93834,18.75,0.0
"Davenport, IA, USA",41.543056,-90.590836,101724,63.8,
"Sparks, NV, USA",39.554443,-119.735558,108445,36.49,
"Green Bay, WI, USA",44.513332,-88.015831,107395,45.48,10.28
"San Mateo, CA, USA",37.554169,-122.313057,105661,12.13,3.71
"Tyler, TX, USA",32.349998,-95.300003,105995,57.45,0.52
"League City, TX, USA",29.499722,-95.089722,112129,51.26,1.8
"Lewisville, TX, USA",33.038334,-97.006111,113760,37.01,6.21
"Meridian, ID, USA",43.614166,-116.398888,117635,33.97,0.06
"Waterbury, CT, USA",41.55611,-73.041389,114403,28.52,
"Jurupa Valley, CA, USA",34.0,-117.48333,105053,42.94,0.74
"West Palm Beach, FL, USA",26.709723,-80.064163,117415,53.82,4.17
"Antioch, CA, USA",38.005001,-121.805832,115291,29.17,0.77
"High Point, NC, USA",35.970554,-79.997498,114059,56.91,1.52
"Miami Gardens, FL, USA",25.942122,-80.26992,111640,18.23,0.77
"Murrieta, CA, USA",33.569443,-117.202499,110949,33.61,0.04
"Springfield, IL, USA",39.799999,-89.650002,114394,61.16,6.33
"El Monte, CA, USA",34.073334,-118.027496,114394,61.16,6.33
"West Jordan, UT, USA",40.606388,-111.976112,116961,32.33,0.0
"College Station, TX, USA",30.601389,-96.314445,120511,51.16,0.14
"Fairfield, CA, USA",38.257778,-122.054169,120511,51.16,0.14
"Evansville, IN, USA",37.977222,-87.550552,118414,47.35,
"Cambridge, MA, USA",42.373611,-71.110558,118403,6.4,0.71
"Richardson, TX, USA",32.965557,-96.715836,119469,28.57,0.09
"Berkeley, CA, USA",37.871666,-122.272781,124321,10.43,7.22
"Columbia, MO, USA",38.951561,-92.328636,126254,67.17,0.28
"Athens, GA, USA",33.950001,-83.383331,127315,116.33,1.77
"Lafayette, LA, USA",30.216667,-92.033333,121374,55.92,0.08
"Sterling Heights, MI, USA",42.580276,-83.030281,134346,36.45,0.27
"Visalia, CA, USA",36.316666,-119.300003,141384,37.91,0.02
"Hampton, VA, USA",37.034946,-76.360123,137148,51.46,84.81
"West Valley City, UT, USA",40.689167,-111.993889,137148,51.46,84.81
"Surprise, AZ, USA",33.630554,-112.366669,143148,110.3,0.22
"Thornton, CO, USA",39.903057,-104.954445,141867,35.924,2.023
"Miramar, FL, USA",25.978889,-80.282501,134721,28.85,2.23
"Murfreesboro, TN, USA",35.846111,-86.391945,152769,63.99,0.14
"Pasadena, CA, USA",34.156113,-118.131943,138699,22.96,0.14
"Bridgeport, CT, USA",41.18639,-73.195557,148654,16.0,3.4
