City,Latitude,Longitude,Population,Land Area,Water Area
"Portland, ME, USA",43.680031,-70.310425,68408,21.54,47.9
"Sioux City, IA, USA",42.495132,-96.40007,85797,58.46,1.165
"Bloomington, IL, USA",40.478821,-88.992706,78680,27.12,0.12
"Albany, GA, USA",31.594915,-84.224236,68089,55.06,0.76
"San Rafael, CA, USA",37.986076,-122.534752,61271,16.59,5.96
"Utica, NY, USA",43.107204,-75.252312,65283,16.72,0.26
"Davenport, IA, USA",41.543056,-90.590836,101724,63.8,
"Green Bay, WI, USA",44.513332,-88.015831,107395,45.48,10.28
"Tyler, TX, USA",32.349998,-95.300003,105995,57.45,0.52
"Waterbury, CT, USA",41.55611,-73.041389,114403,28.52,
"Antioch, CA, USA",38.005001,-121.805832,115291,29.17,0.77
"High Point, NC, USA",35.970554,-79.997498,114059,56.91,1.52
"College Station, TX, USA",30.601389,-96.314445,120511,51.16,0.14
"Evansville, IN, USA",37.977222,-87.550552,118414,47.35,
"Lafayette, LA, USA",30.216667,-92.033333,121374,55.92,0.08
"Murfreesboro, TN, USA",35.846111,-86.391945,152769,63.99,0.14
"Bridgeport, CT, USA",41.18639,-73.195557,148654,16.0,3.4
"Rockford, Il, the US",42.259445,-89.064445,148655,64.91,
"Springfield, MA, USA",42.101391,-72.590279,155929,31.87,1.21
"Springfield, MO, USA",37.210388,-93.297256,169176,83.11,0.59
"Newport News, VA, USA",37.070831,-76.484444,186247,68.99,50.63
"Vancouver, WA, USA",45.633331,-122.599998,190915,48.74,3.7
"Worcester, MA, USA",42.271389,-71.798889,206518114,37.36,1.08
"Tallahassee, FL, USA",30.455,-84.253334,196169,101.85,2.89
"Columbus, GA, USA",32.492222,-84.940277,206922,216.5,4.51
"Augusta, GA, USA",33.466667,-81.966667,202081,302.28,4.17
"Montgomery, AL, USA",32.361668,-86.279167,200603,159.86,2.41
"Amarillo, TX, USA",35.199165,-101.845276,200393,102.3,1.56
"Modesto, CA, USA",37.639492,-121.015099,218464,42.97,1.83
"Kansas City, MO, USA",39.099724,-94.578331,508090,314.73,4.07
"Memphis, TN, USA",35.1175,-89.971107,633104,294.92,7.63
"Indianapolis, IN, USA",39.791,-86.148003,887642,361.64,6.29
"Columbus, OH, USA",39.983334,-82.98333,905748,220.4,5.86
"Austin, TX, the US",30.266666,-97.73333,964177,319.94,6.57
"Dallas, TX, the US",32.779167,-96.808891,1304379,339.604,43.87
"Gastonia, NC, the USA",35.25528,-81.180275,80411,51.99,0.23
"Houston, TX, USA",29.749907,-95.358421,2304580,640.44,31.23
"Richmond, VA, USA",37.54129,-77.434769,226610,59.92,2.65
"Fayetteville, AR, USA",36.082157,-94.171852,93949,54.42,1.38
"Yuma, AZ, USA",32.698437,-114.650398,95548,120.77,0.07
"Fargo, ND, USA",46.877186,-96.789803,125990,20.32,0.16
"Rogers, AR, USA",36.333412,-94.125809,69908,38.9,0.17
"McAllen, TX, USA",26.203407,-98.230011,142210,62.31,0.43
"Santa Clarita, CA, USA",34.391663,-118.542587,228673,70.75,0.06
"St Cloud, MN, USA",45.56023,-94.172852,68881,40.17,1.06
"Sanford, FL, USA",28.807674,-81.274948,61051,23.58,3.6
"Albany, OR, USA",44.636513,-123.105927,56472,17.66,0.21
"Akron, OH, USA",41.081757,-81.511452,190469,61.93,0.34
"Youngstown, OH, USA",41.10297,-80.647247,60068,33.93,0.64
"Rapid City, SD, USA",44.080544,-103.231018,74703,55.07,0.06
"Providence, RI, USA",41.825226,-71.418884,190934,18.41,2.18
"Madison, WI, USA",43.073051,-89.40123,269840,79.57,21.96
"Indio, CA, USA",33.720577,-116.215561,89137,33.23,0.01
"Bradenton, FL, USA",27.498928,-82.574821,55698,14.34,3.16
"Greenville, NC, USA",35.612659,-77.366356,87521,37.44,0.76
"Racine, WI, USA",42.722702,-87.784225,77816,15.47,0.18
"Temecula, CA, USA",33.487007,-117.143784,110003,37.18,0.01
"Yakima, WA, USA",46.60207,-120.505898,96968,27.81,0.46
"Norfolk, VA, USA",36.850769,-76.285873,238005,53.27,43.13
"Santa Cruz, CA, USA",36.974117,-122.030792,62956,12.74,3.09
"Santa Barbara, CA, USA",34.42083,-119.698189,88665,19.5,22.5
"Danbury, CT, USA",41.394966,-73.454079,86518,41.95,2.24
"Des Moines, Iowa, USA",41.619549,-93.598022,214133,88.18,2.52
"New Haven, CT, USA",41.308273,-72.927887,134023,18.69,1.44
"Grand Rapids, MI, USA",42.963795,-85.670006,202181,44.78,0.86
"Lexington, Kentucky, US",38.047989,-84.50164,322570,283.64,1.9
"Lynchburg, VA, USA",37.412762,-79.146042,79009,48.97,0.55
"Portland, OR, USA",45.523064,-122.676483,652503,133.49,11.51
"Philadelphia, PA, USA",39.952583,-75.165222,1603797,134.36,8.34
"Miami, FL, USA",25.761681,-80.191788,442241,36.0,20.08
"Boston, MA, USA",42.361145,-71.057083,675647,48.34,41.27
"Phoenix, AZ, USA",33.448376,-112.074036,1608139,518.27,1.02
"Victorville, CA, USA",34.536217,-117.292763,134810,73.72,0.29
"Jacksonville, FL, USA",30.332184,-81.655647,949611,747.3,127.16
"Corvallis, OR, USA",44.564568,-123.262047,59922,14.46,0.13
"Richmond, CA, USA",37.935757,-122.347748,103701,30.05,22.46
"Tampa, FL, USA",27.964157,-82.452606,384959,114.02,61.82
"New Haven, CT, USA",41.310726,-72.929916,134023,18.69,1.44
"Clarksville, TN, USA",36.531364,-87.353767,166722,99.58,0.7
"Canton, OH, USA",40.798946,-81.378448,70872,26.35,0.06
"Stamford, CT, USA",41.053429,-73.538734,135470,37.62,14.41
"Ames, IA, USA",42.034534,-93.620369,66427,27.58,0.34
"Champaign, IL, USA",40.116421,-88.243385,88302,22.99,0.15
"Port Charlotte, FL, USA",26.979605,-82.075424,60625,28.48,3.86
"Syracuse, NY, USA",43.088947,-76.15448,148620,25.06,0.58
"Lake Charles, LA, USA",30.212942,-93.21891,84872,45.73,2.87
"Mission Viejo, CA, USA",33.600021,-117.671997,93653,17.66,0.37
"Greenville, SC, USA",34.852619,-82.394012,70720,29.8,0.23
"Ocala, FL, USA",29.187199,-82.140091,63591,47.26,0.01
"Gainesville, FL, USA",29.651634,-82.324829,141085,63.36,1.17
"Fayetteville, NC, USA",35.052666,-78.878357,208501,148.26,1.82
"Rock Hill, SC, USA",34.924866,-81.025078,74372,43.69,0.16
"Chattanooga, TN, USA",35.045631,-85.309677,181099,142.35,
"Tuscaloosa, AL, USA",33.189281,-87.565155,1006181,61.94,10.07
"Eugene, OR, USA",44.052071,-123.086754,176654,44.22,0.07
"Virginia Beach, VA, USA",36.86314,-76.015778,457672,244.72,252.78
"Lansing, MI, USA",42.732536,-84.555534,112644,39.14,0.64
"Kissimmee, FL, USA",28.291956,-81.40757,79226,21.5,0.7
"Louisville, KY, USA",38.328732,-85.764771,633045,324.94,16.5
"Nashua, NH, USA",42.765366,-71.467567,91322,30.83,0.9
"Raleigh, NC, USA",35.787743,-78.644257,467665,148.54,1.07
"Olympia, WA, USA",47.037872,-122.900696,55605,18.23,1.87
"Frederick, MD, USA",39.412327,-77.425461,78171,23.85,0.1
"Jackson, MS, USA",32.298756,-90.184807,153701,111.72,2.14
"Harrisburg, PA, USA",40.26368,-76.890739,50099,8.12,
"Mobile, AL, USA",30.695366,-88.039894,187041,139.48,
"San Diego, CA, USA",32.715736,-117.161087,1386932,325.88,46.54
"Gulfport, MS, USA",30.36742,-89.092819,72926,55.62,8.39
"Cincinnati, OH, USA",39.103119,-84.512016,309317,77.91,1.72
"Reading, PA, USA",40.335648,-75.926872,95112,9.84,0.24
"Atlanta, GA, USA",33.753746,-84.38633,498715,135.32,0.99
"Omaha, NE, USA",41.25716,-95.995102,486051,142.67,3.61
"St. Petersburg, FL, USA",27.773056,-82.639999,258308,61.87,73.63
"Livermore, CA, USA",37.681873,-121.768005,87955,26.45,0.0
"Brownsville, TX, USA",25.901747,-97.497482,186738,131.53,13.66
"Centreville, VA, USA",38.840389,-77.428879,73518,11.94,0.11
"Fort Collins, CO, USA",40.585258,-105.084419,169810,57.212,1.261
"Flint, MI, USA",43.016193,-83.705521,81252,33.44,0.67
"Killeen, TX, USA",31.117119,-97.727798,153095,54.85,0.65
"Scranton, PA, USA",41.40897,-75.662415,76328,25.31,0.23
"Little Rock, AR, USA",34.746483,-92.289597,204405,120.05,2.96
"Scranton, PA, USA",41.414925,-75.669708,76328,25.31,0.23
"Dayton, OH, USA",39.758949,-84.191605,137644,55.81,1.15
"Northside, Jacksonville, FL, USA",30.49015,-81.647346,156001,9.71,0.04
"Provo, UT, USA",40.233845,-111.658531,115162,41.69,2.5
"Birmingham, AL, USA",33.543682,-86.779633,200733,147.02,2.52
"Concord, CA, USA",37.989128,-122.043686,125410,30.55,0.0
"Minneapolis, MN, USA",44.986656,-93.258133,429954,54.0,3.51
"Wilmington, NC, USA",34.225727,-77.94471,115451,51.41,1.56
"Norman, OK, USA",35.222569,-97.439476,128026,178.65,10.54
"New Orleans, LA, USA",29.951065,-90.071533,383997,169.42,180.43
"Irving, TX, USA",32.819595,-96.945419,256684,66.98,0.99
"Spokane, WA, USA",47.658779,-117.426048,228989,68.76,0.74
"Lawton, OK, USA",34.603565,-98.395927,90381,81.44,0.03
"Manchester, NH, USA",43.008663,-71.454391,115644,33.07,1.87
"Baton Rouge, LA, USA",30.471165,-91.147385,227470,86.32,2.2
"Bakersfield, CA, USA",35.393528,-119.043732,403455,149.81,1.46
"Grand Prairie, TX, USA",32.738773,-97.003098,175396,72.57,8.9
"Anchorage, AK, USA",61.217381,-149.863129,291247,1706.89,239.8
"Cape Coral, FL, USA",26.562855,-81.949532,1940162,106.03,13.38
"McKinney, TX, USA",33.214561,-96.614456,195308,66.96,0.74
"Durham, NC, USA",35.994034,-78.898621,283506,115.36,0.82
"Daytona Beach, FL, USA",29.218103,-81.031723,72647,65.59,2.6
"Beaumont, TX, USA",30.080173,-94.126556,115282,82.46,
"Frisco, TX, USA",33.155373,-96.818733,200509,68.64,0.56
"Cedar Rapids, IA, USA",41.977879,-91.665627,137710,73.03,1.23
"Billings, MT, USA",45.787636,-108.489304,117116,45.29,0.11
"Buffalo, NY, USA",42.88023,-78.878738,278349,40.38,12.1
"Pensacola, FL, USA",30.433283,-87.240372,54312,22.76,18.36
"Denver, CO, USA",39.742043,-104.991531,715522,153.075,1.651
"Lakeland, FL, USA",28.039465,-81.949806,112641,66.29,9.01
"Palm Coast, FL, USA",29.584452,-81.20787,89258,95.37,1.2
"St. Louis, MO, USA",38.627003,-90.199402,301578,61.72,4.45
"Roanoke, VA, USA",37.270969,-79.941429,100011,42.52,0.33
"Nashville, TN, USA",36.174465,-86.76796,715884,504.03,21.91
"Winston-Salem, NC, USA",36.099861,-80.244217,249545,133.53,1.21
"Milwaukee, WI, USA",43.038902,-87.906471,577222,96.18,0.63
"Lincoln, NE, USA",40.806862,-96.681679,291082,99.09,1.36
"Charleston, SC, USA",32.776566,-79.930923,150227,115.03,20.48
"Greensboro, NC, USA",36.044659,-79.766235,299035,131.41,5.24
"Seattle, WA, USA",47.608013,-122.335167,737015,83.99,58.08
"Cleveland, OH, USA",41.505493,-81.68129,372624,77.73,4.75
"Hartford, CT, USA",41.76371,-72.685097,121054,17.38,0.68
"Tucson, AZ, USA",32.25346,-110.911789,542629,241.01,0.32
"Wichita Falls, TX, USA",33.930828,-98.484879,104553,72.01,0.02
"Tulsa, OK, USA",36.15398,-95.992775,413066,197.76,4.09
"Duluth, MN, USA",46.786671,-92.100487,86697,71.66,8.5
"Shreveport, LA, USA",32.523659,-93.763504,187593,108.14,
"Kingsport, TN, USA",36.548435,-82.561821,55442,52.6,0.92
"Huntsville, AL, USA",34.738228,-86.601791,215006,219.34,1.49
"El Paso, TX, USA",31.772543,-106.460953,678815,258.43,0.82
"Fresno, CA, USA",36.746841,-119.772591,542107,114.79,1.21
"Albuquerque, NM, USA",35.106766,-106.629181,564559,187.27,1.68
"Orlando, FL, USA",28.538336,-81.379234,307573,110.85,8.23
"Fort Wayne, IN, USA",41.093842,-85.139236,265974,110.57,0.22
"Wichita, KS, USA",37.697948,-97.314835,397532,161.99,4.53
"Peoria, Il, USA",40.703545,-89.579086,113150,47.97,2.58
"Lancaster, PA, USA",40.044437,-76.306229,58039,7.23,0.12
"Baltimore, MD, USA",39.299236,-76.609383,585708,80.95,11.1
"Chicago, IL, USA",41.881832,-87.623177,2746388,227.73,6.8
"New York City, NY, USA",40.73061,-73.935242,8804190,300.46,171.97
"Savannah, GA, USA",32.076176,-81.088371,147780,108.5,4.77
"Allentown, Pennsylvania, USA",40.610306,-75.477104,125845,17.56,0.44
"Los Angeles, CA, USA",34.052235,-118.243683,3898747,469.49,32.06
"Sacramento, CA, USA",38.590576,-121.489906,524943,97.68,2.09
"Bellingham, WA, USA",48.769768,-122.485886,91482,28.14,2.37
"Honolulu, HI, USA",21.315603,-157.858093,35096456,60.5,7.9
"Sarasota, FL, USA",27.341274,-82.528267,54842,14.7,9.39
"Kalamazoo, MI, USA",42.299152,-85.591736,73598,24.69,0.45
"Palm Bay, FL, USA",28.040169,-80.59433,119760,86.42,3.18
"Las Vegas, NV, USA",36.18811,-115.176468,641903,141.85,0.05
"Salem, OR, USA",44.944099,-123.040283,175535,48.91,0.55
"Charlotte, NC, USA",35.227085,-80.843124,874579,310.02,1.98
"Charleston, SC, USA",32.784618,-79.940918,150227,115.03,20.48
"Stockton, CA, USA",37.961632,-121.275604,320804,62.17,3.08
"Beaumont, TX, USA",30.081987,-94.118637,115282,82.46,
"Oxnard, CA, USA",34.196411,-119.170898,202063,26.53,12.62
"Lubbock, TX, USA",33.576698,-101.855072,260993,134.6,1.24
"Topeka, KS, USA",39.056198,-95.695312,126587,61.44,1.31
"Santa Rosa, CA, USA",38.44466,-122.720306,178127,42.52,0.17
"Sacramento, CA, USA",38.575764,-121.478851,524943,97.68,2.09
"Reno, NV, USA",39.530895,-119.814972,264165,108.86,
"Colorado Springs, CO, USA",38.859055,-104.813499,478961,195.399,0.362
"Scranton, PA, USA",41.411835,-75.665245,76328,25.31,0.23
"Laredo, TX, USA",27.506748,-99.502914,255205,106.49,1.47
"Allentown, PA, USA",40.613953,-75.477791,125845,17.56,0.44
"Corpus Christi, TX, USA",27.800583,-97.396378,317863,160.63,328.1
"Pittsburgh, PA, USA",40.440624,-79.995888,302971,55.38,2.97
"Oklahoma City, OK, USA",35.481918,-97.508469,681054,606.48,14.31
"Denton, TX, USA",33.21484,-97.133064,139869,96.35,1.6
"Salt Lake City, UT, USA",40.758701,-111.876183,200133,110.34,0.47
"Knoxville, TN, USA",35.964668,-83.926453,190740,98.73,5.52
"Toledo, OH, USA",41.651031,-83.541939,268508,80.49,3.34
"Ann Arbor, MI, USA",42.279594,-83.732124,123851,28.22,0.87
"San Francisco, CA, USA",37.773972,-122.431297,815201,46.9,184.99
"Boise, ID, USA",43.618881,-116.215019,235684,84.03,0.97
"Albany, NY, USA",42.65258,-73.756233,99224,21.4,0.53
