GEOID,Native Lands,Number; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,MeanIncomePerCapita,Number; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Number; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Number; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Number; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Number; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Number; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,"Mean income (dollars); Estimate; White alone, not Hispanic or Latino",Mean income (dollars); Estimate; Hispanic or Latino origin (of any race)
0010,"Acoma Pueblo and Off-Reservation Trust Land, NM",2974,13039,24,N,55,N,2869,12898,0,-,0,-,15,N,N,15171
0020,"Agua Caliente Indian Reservation and Off-Reservation Trust Land, CA",25595,44888,22173,46861,716,28412,174,58957,1012,36789,64,24159,705,22657,51341,22746
0050,"Alabama-Coushatta Reservation and Off-Reservation Trust Land, TX",613,17995,17,8818,0,-,528,20014,0,-,0,-,0,-,8723,5882
0080,"Allegany Reservation, NY",6240,16669,3864,18841,228,6669,1583,15140,76,11724,0,-,87,11374,19261,8964
0095,"Alturas Indian Rancheria, CA",0,-,0,-,0,-,0,-,0,-,0,-,0,-,-,-
0110,"Annette Island Reserve, AK",1684,22927,228,37955,0,-,1212,19266,24,11588,3,N,11,N,39064,23267
0115,"Aroostook Band of Micmac Trust Land, ME",241,10192,49,9612,1,N,174,9775,3,-,4,N,0,-,10021,N
0120,"Auburn Rancheria and Off-Reservation Trust Land, CA",0,-,0,-,0,-,0,-,0,-,0,-,0,-,-,-
0125,"Augustine Reservation, CA",0,-,0,-,0,-,0,-,0,-,0,-,0,-,-,-
0140,"Bad River Reservation, WI",1545,17974,382,26507,0,-,1063,15855,18,N,0,-,10,-,27560,10246
0155,"Barona Reservation and Off-Reservation Trust Land, CA",745,46508,161,23276,0,-,449,60177,4,N,2,N,21,19590,27298,21101
0165,"Battle Mountain Reservation and Off-Reservation Trust Land, NV",318,15581,68,18291,0,-,241,14841,0,-,0,-,3,N,17103,18823
0170,"Bay Mills Reservation and Off-Reservation Trust Land, MI",1281,21084,159,48874,25,N,822,17938,18,22028,0,-,1,N,50742,9146
0185,"Benton Paiute Reservation and Off-Reservation Trust Land, CA",113,18781,0,-,0,-,110,18433,2,N,0,-,1,N,-,N
