GEOID,PovSurveyPop,PercentBelowPovLevel,Under18YrsPop,18to34Pop,35to64Pop,Over65Pop,MalePercentBelowPovLevel,FemalePercentBelowPovLevel,WhitePercentBelowPovLevel,AIANPercentBelowPovLevel,NHPIPercentBelowPovLevel,LabForce16andOver,Employed16andOver,Unemployed16andOver
0010,2970,23.3,781,750,1126,313,21.1,25.4,20.8,24.0, ,1369,1086,283
0011,25421,14.2,2307,2583,10079,10452,13.5,15.1,12.8,19.5,23.4,10513,9606,907
0012,613,25.4,212,128,161,112,25.1,25.7,23.5,25.0, ,270,215,55
0013,6088,28.1,1803,1379,2093,813,27.0,29.1,24.3,32.4, ,2420,2154,266
0014,0, ,0,0,0,0, , , , , ,0,0,0
0015,1672,13.4,496,378,598,200,13.5,13.3,2.6,17.3,0.0,719,587,132
0016,241,57.7,79,61,84,17,53.3,61.2,71.4,55.7,50.0,90,66,24
0017,0, ,0,0,0,0, , , , , ,0,0,0
0018,0, ,0,0,0,0, , , , , ,0,0,0
0019,1542,32.8,514,277,564,187,29.3,36.8,19.8,34.1, ,654,548,106
0020,743,15.1,243,190,275,35,12.6,17.7,18.9,15.1,0.0,184,172,12
0021,318,15.4,82,83,99,54,14.1,16.4,11.8,17.0, ,132,99,33
0170,1258,17.6,335,374,408,141,17.5,17.6,11.8,20.7, ,675,587,88
0185,111,18.0,22,20,56,13,25.7,14.5, ,18.5, ,68,64,4
0200,257,8.2,113,43,91,10,8.8,7.5,33.3,4.2,0.0,81,66,15
0215,0, ,0,0,0,0, , , , , ,0,0,0
0225,651,35.3,237,159,210,45,30.8,39.9,19.2,30.7,100.0,189,176,13
0240,2,50.0,0,0,2,0, ,50.0,50.0, , ,0,0,0
0250,497,20.9,136,93,191,77,21.1,20.8,28.2,17.3,0.0,215,196,19
0265,182,36.8,105,26,42,9,32.1,40.4,33.3,37.0,0.0,49,39,10
0275,212,56.1,82,58,58,14,57.8,54.4,40.0,67.8, ,83,65,18
0290,1631,15.5,461,424,556,190,16.2,14.9,16.7,16.3,0.0,842,762,80
0305,10740,35.8,3313,2646,3803,978,32.8,38.9,29.7,38.5,0.0,3907,3509,398
0325,82,12.2,15,27,28,12,10.9,14.8,13.0,16.0, ,57,57,0
0335,1076,26.4,303,252,375,146,25.0,27.8,13.9,28.3, ,487,412,75
0350,83,1.2,0,45,13,25,5.3,0.0,0.0,1.3, ,54,54,0
0360,692,15.2,238,114,287,53,17.1,12.8,29.9,11.7, ,200,155,45
0400,127,26.8,23,29,53,22,27.0,26.4,20.0,25.2,66.7,57,43,14
0415,748,38.2,160,198,312,78,32.0,44.4,45.7,16.7, ,347,310,37
0435,133,8.3,43,45,39,6,8.7,7.8,4.3,11.8, ,55,45,10
0440,396,42.7,89,93,136,78,37.8,47.1,50.0,45.3,10.3,156,116,40
0450,345,29.6,69,125,130,21,23.8,35.3,29.3,29.4, ,120,108,12
0495,0, ,0,0,0,0, , , , , ,0,0,0
0510,267,21.0,48,82,107,30,17.5,24.1,52.9,19.3, ,140,108,32
0525,1118,32.1,329,293,407,89,27.5,37.1,32.8,32.2,0.0,555,485,70
0540,2274,33.1,631,521,812,310,30.2,35.4,39.9,34.3,0.0,840,667,173
0555,24,20.8,14,5,4,1,15.4,27.3,50.0,18.2, ,9,9,0
0560,51,56.9,12,20,18,1,64.5,45.0,100.0,51.1, ,6,6,0
0575,1000,23.4,333,332,278,57,26.9,20.1,13.2,34.4, ,457,376,81
0585,314,43.6,108,67,98,41,40.5,46.8,31.9,46.0, ,134,118,16
0605,8451,35.4,2943,1880,2836,792,34.5,36.3,9.6,42.5, ,3943,2903,1040
0620,0, ,0,0,0,0, , , , , ,0,0,0
0635,589,15.3,186,125,211,67,11.6,18.7,11.3,15.7,66.7,267,253,14
0680,1820,16.2,422,318,724,356,15.1,17.3,19.8,14.8, ,714,652,62
0690,0, ,0,0,0,0, , , , , ,0,0,0
0695,1341,40.0,337,209,350,445,42.2,37.9,14.0,53.8,100.0,305,248,57
0705,7376,19.1,1544,1019,3138,1675,18.4,19.7,12.3,42.4,26.1,3179,2944,235
